account,symbol,trade_date,side,quantity,price,fees,currency,broker_ref
ACC_MAIN,AAPL,2026-01-02,BUY,50,185.20,1.25,USD,BRK-1001
ACC_MAIN,MSFT,2026-01-03,BUY,30,412.10,1.10,USD,BRK-1002
ACC_MAIN,NVDA,2026-01-06,BUY,20,910.50,1.40,USD,BRK-1003
ACC_MAIN,AAPL,2026-01-10,SELL,10,193.80,1.10,USD,BRK-1004
ACC_MAIN,MSFT,2026-01-12,BUY,15,405.00,0.95,USD,BRK-1005
ACC_MAIN,GOOG,2026-01-15,BUY,8,151.25,0.80,USD,BRK-1006
ACC_MAIN,TSLA,2026-01-16,BUY,5,228.30,0.70,USD,BRK-1007
ACC_MAIN,NVDA,2026-01-17,SELL,4,940.00,1.15,USD,BRK-1008
ACC_MAIN,AMZN,2026-01-21,BUY,12,177.55,0.90,USD,BRK-1009
ACC_MAIN,AAPL,2026-01-24,BUY,20,190.10,1.20,USD,BRK-1010
ACC_ALT,QQQ,2026-01-05,BUY,40,490.40,1.35,USD,BRK-2001
ACC_ALT,SPY,2026-01-08,BUY,25,530.15,1.20,USD,BRK-2002
ACC_ALT,QQQ,2026-01-13,SELL,5,500.10,1.05,USD,BRK-2003
ACC_ALT,IWM,2026-01-20,BUY,18,225.70,0.88,USD,BRK-2004
ACC_ALT,SPY,2026-01-23,BUY,10,535.40,0.95,USD,BRK-2005
